Left_lane_intercept_estimate,Left_lane_intercept_actual,Left_lane_intercept_measured,Left_lane_angle_estimate,Left_lane_angle_actual,Left_lane_angle_measured,Right_lane_intercept_estimate,Right_lane_intercept_actual,Right_lane_intercept_measured,Right_lane_angle_estimate,Right_lane_angle_actual,Right_lane_angle_measured
-171.36672774869106,-171.37172774869106,-171.36672774869106,0.96493107557296753,0.95993107557296753,0.96493107557296753,1257.8866689466486,1257.8816689466485,1257.8866689466486,2.3961011219024657,2.3911011219024658,2.3961011219024657
-171.36672774869106,-171.37172774869106,-171.36672774869106,0.96493107557296753,0.95993107557296753,0.96493107557296753,1257.8866689466486,1257.8816689466485,1257.8866689466486,2.3961011219024657,2.3911011219024658,2.3961011219024657
-171.36672774869106,-182.54720656155908,-227.26912181303112,0.96493107557296753,0.97440305137634275,1.01229,1257.8866689466486,1580.149529646784,2869.2009724473255,2.3961011219024657,2.2938720026016233,1.88496
-191.47658961185348,-201.79477736982858,-216.26628895184132,0.99698063201904297,1.003353229796615,1.01229,1837.9748182068925,1580.149529646784,1837.9748182068925,2.2270887071609495,2.2938720026016233,2.2270887071609495
-216.18439179812381,-208.37214582564226,-201.0514705882353,1.0393092704111555,1.0163511582697684,0.994838,1837.9748182068925,1560.5423945450232,1171.4366110080396,2.2270887071609495,2.3462073593896795,2.51327
-219.41899400531412,-205.0138725559674,-192.65992647058823,1.0525130857001563,1.0214648522683096,0.994838,1671.2956969281518,1419.8355189881154,1184.1979949874687,2.352575326981909,2.4265246026921172,2.49582
-210.43511823885109,-203.04680027823929,-196.74264705882348,1.0555231304657611,1.022777858952439,0.994838,1423.3239100508094,1300.5853604248746,1195.3238095238096,2.4744399192881108,2.4765542770894489,2.47837
-205.6287949268177,-203.04680027823929,-205.6287949268177,1.0542968022442225,1.022777858952439,1.0542968022442225,1256.2361225623147,1300.5853604248746,1256.2361225623147,2.5352938417134818,2.4765542770894489,2.5352938417134818
-205.6287949268177,-834.9053099111577,-1370.8945454545456,1.0542968022442225,1.182416795359581,1.29154,1256.2361225623147,1300.5853604248746,1256.2361225623147,2.5352938417134818,2.4765542770894489,2.5352938417134818
-1080.1887140862684,-834.9053099111577,-1080.1887140862684,1.27335150958369,1.182416795359581,1.27335150958369,1256.2361225623147,1300.5853604248746,1256.2361225623147,2.5352938417134818,2.4765542770894489,2.5352938417134818
-1080.1887140862684,-614.88168909437786,-221.71550094517954,1.27335150958369,1.1318522661274419,1.01229,1256.2361225623147,1300.5853604248746,1256.2361225623147,2.5352938417134818,2.4765542770894489,2.5352938417134818
-679.23177294676782,-436.29215755634237,-232.7258979206049,1.1777684408190701,1.0877337086714873,1.01229,1256.2361225623147,1217.3650827907338,1184.1979949874687,2.5352938417134818,2.5139945693338523,2.49582
-405.84144159816952,-337.60387252946919,-280.72621359223297,1.1085199015473317,1.0655558446744264,1.02974,1158.1407343976628,1173.554229108104,1186.682745825603,2.5745778812449842,2.5414721528765454,2.51327
-280.50506286361872,-399.01944522480517,-497.5722748815166,1.0795700366032528,1.1095410632205736,1.13446,1120.284852341686,1173.554229108104,1120.284852341686,2.5992866138860888,2.5414721528765454,2.5992866138860888
-388.15560929219453,-300.74353269575903,-228.10787172011658,1.1452501170814497,1.0821651505127881,1.02974,1120.284852341686,1173.554229108104,1120.284852341686,2.5992866138860888,2.5414721528765454,2.5992866138860888
-255.77398293622753,-238.17658265447952,-223.55587949465502,1.1032674560769,1.0631093821429842,1.02974,1120.284852341686,1173.554229108104,1120.284852341686,2.5992866138860888,2.5414721528765454,2.5992866138860888
-186.33411158733276,-195.25284093434149,-202.66288951841358,1.078550186754611,1.0423595936243473,1.01229,1120.284852341686,1173.554229108104,1120.284852341686,2.5992866138860888,2.5414721528765454,2.5992866138860888
-146.87856392998452,-168.26621504952396,-186.03584558823525,1.0536865148276,1.0215433446792281,0.994838,1120.284852341686,1176.1354334150403,1223.3269841269841,2.5992866138860888,2.5337464420075411,2.47837
-128.22300105300684,-149.077799809315,-166.4044117647059,1.0303346112666103,1.0109460621627953,0.994838,1144.5921968034388,1207.7411134966699,1260.6554508748318,2.5760772011301523,2.4849295865877505,2.40855
